Frequency (Hz)	Level (dB)
4984.375000	-32.015732
5000.000000	-31.893511
5015.625000	-31.745508
5031.250000	-31.292006
5046.875000	-31.045763
5062.500000	-30.554914
5078.125000	-29.927839
5093.750000	-29.478848
5109.375000	-29.065453
5125.000000	-29.044586
5140.625000	-28.944410
5156.250000	-29.289095
5171.875000	-29.386789
5187.500000	-29.576729
5203.125000	-29.960714
5218.750000	-30.167696
5234.375000	-30.470308
5250.000000	-31.096033
5265.625000	-31.215939
5281.250000	-31.523943
5296.875000	-31.691832
5312.500000	-31.549593
5328.125000	-31.182074
5343.750000	-30.665192
5359.375000	-30.047888
5375.000000	-29.678968
5390.625000	-29.562727
5406.250000	-29.605961
5421.875000	-30.418612
5437.500000	-31.512167
5453.125000	-32.358521
5468.750000	-33.647224
5484.375000	-34.181919
5500.000000	-34.670300
5515.625000	-34.523876
5531.250000	-34.351585
5546.875000	-34.136860
5562.500000	-33.384846
5578.125000	-32.098633
5593.750000	-31.014969
5609.375000	-30.563854
5625.000000	-30.846937
5640.625000	-32.189915
5656.250000	-33.655853
5671.875000	-35.041634
5687.500000	-36.031818
5703.125000	-36.726368
5718.750000	-37.127274
5734.375000	-37.181156
5750.000000	-37.102524
5765.625000	-36.475433
5781.250000	-35.422283
5796.875000	-33.951645
5812.500000	-32.917061
5828.125000	-32.580833
5843.750000	-33.121170
5859.375000	-34.208843
5875.000000	-35.738865
5890.625000	-37.541428
5906.250000	-38.345036
5921.875000	-39.067608
5937.500000	-39.733967
5953.125000	-39.738926
5968.750000	-39.642818
5984.375000	-38.949684
6000.000000	-37.867706
6015.625000	-36.371960
6031.250000	-35.296314
6046.875000	-34.449825
6062.500000	-34.768272
6078.125000	-36.307827
6093.750000	-37.901794
6109.375000	-39.300709
6125.000000	-40.671417
6140.625000	-41.849148
6156.250000	-42.317589
6171.875000	-42.282951
6187.500000	-42.141674
6203.125000	-41.371639
6218.750000	-40.654766
6234.375000	-39.217442
6250.000000	-37.669819
6265.625000	-36.974533
6281.250000	-37.085152
6296.875000	-38.134392
6312.500000	-40.123775
6328.125000	-41.801167
6343.750000	-43.080212
6359.375000	-43.905979
6375.000000	-44.474438
6390.625000	-44.842091
6406.250000	-44.800220
6421.875000	-44.202675
6437.500000	-43.450016
6453.125000	-42.258846
6468.750000	-40.787201
6484.375000	-39.902481
6500.000000	-39.760132
6515.625000	-40.862698
6531.250000	-42.843910
6546.875000	-44.799767
6562.500000	-46.117790
6578.125000	-47.217545
6593.750000	-47.963013
6609.375000	-48.512196
6625.000000	-48.733158
6640.625000	-48.190792
6656.250000	-47.431770
6671.875000	-46.521004
6687.500000	-45.266331
6703.125000	-44.193108
6718.750000	-44.202454
6734.375000	-45.269939
6750.000000	-46.809601
6765.625000	-48.357227
6781.250000	-50.178963
6796.875000	-51.170738
6812.500000	-52.283131
6828.125000	-52.749821
6843.750000	-53.159115
6859.375000	-53.056351
6875.000000	-52.615269
6890.625000	-51.718880
6906.250000	-50.305767
6921.875000	-49.266994
6937.500000	-49.167194
6953.125000	-50.437698
6968.750000	-52.160297
6984.375000	-54.144749
7000.000000	-55.916065
7015.625000	-57.410004
7031.250000	-58.415653
7046.875000	-58.934170
7062.500000	-59.500767
7078.125000	-59.733421
7093.750000	-59.568794
7109.375000	-58.961002
7125.000000	-57.993988
7140.625000	-56.971272
7156.250000	-56.525692
7171.875000	-57.675587
7187.500000	-59.393105
7203.125000	-61.364101
7218.750000	-63.482300
7234.375000	-65.341484
7250.000000	-66.583778
7265.625000	-67.592285
7281.250000	-68.400665
7296.875000	-68.638618
7312.500000	-68.692650
7328.125000	-68.157257
7343.750000	-67.808174
7359.375000	-67.129631
7375.000000	-66.858887
7390.625000	-67.666893
7406.250000	-69.295753
7421.875000	-71.654678
7437.500000	-73.942825
7453.125000	-75.844894
7468.750000	-77.545944
7484.375000	-78.964470
7500.000000	-79.885201
7515.625000	-80.685654
7531.250000	-81.336830
7546.875000	-81.731117
7562.500000	-81.706230
7578.125000	-81.772163
7593.750000	-82.289551
7609.375000	-83.652748
7625.000000	-86.161392
7640.625000	-89.390686
7656.250000	-92.653893
7671.875000	-95.366272
7687.500000	-98.234306
7703.125000	-100.700371
7718.750000	-102.915649
7734.375000	-105.208702
7750.000000	-107.483810
7765.625000	-110.020775
7781.250000	-112.514954
7796.875000	-115.441460
7812.500000	-119.224243
7828.125000	-124.124130
7843.750000	-129.674866
7859.375000	-135.833862
7875.000000	-142.335129
7890.625000	-147.610428
7906.250000	-150.801483
7921.875000	-151.839035
7937.500000	-152.143723
7953.125000	-152.260452
7968.750000	-152.367020
7984.375000	-152.361984
