Frequency (Hz)	Level (dB)
3718.750000	-32.120743
3734.375000	-33.712822
3750.000000	-34.374043
3765.625000	-33.777500
3781.250000	-32.256073
3796.875000	-29.702637
3812.500000	-27.320068
3828.125000	-26.740171
3843.750000	-28.113764
3859.375000	-30.321049
3875.000000	-31.796249
3890.625000	-32.472992
3906.250000	-32.349377
3921.875000	-30.906370
3937.500000	-29.001553
3953.125000	-27.386627
3968.750000	-26.431919
3984.375000	-27.158943
4000.000000	-28.856462
4015.625000	-30.372654
4031.250000	-31.444193
4046.875000	-31.820395
4062.500000	-31.405216
4078.125000	-30.165136
4093.750000	-27.982498
4109.375000	-26.143463
4125.000000	-26.433601
4140.625000	-28.409882
4156.250000	-30.598133
4171.875000	-32.178337
4187.500000	-32.928761
4203.125000	-32.456593
4218.750000	-31.168152
4234.375000	-28.773634
4250.000000	-26.336843
4265.625000	-26.014412
4281.250000	-28.426409
4296.875000	-31.266880
4312.500000	-33.318951
4328.125000	-34.381439
4343.750000	-34.125172
4359.375000	-33.010883
4375.000000	-30.183657
4390.625000	-26.565487
4406.250000	-26.023058
4421.875000	-28.751245
4437.500000	-32.388191
4453.125000	-34.745018
4468.750000	-35.669205
4484.375000	-35.796719
4500.000000	-34.252880
4515.625000	-31.081026
4531.250000	-27.128948
4546.875000	-26.302288
4562.500000	-29.528000
4578.125000	-33.596622
4593.750000	-35.984367
4609.375000	-36.817856
4625.000000	-36.735348
4640.625000	-35.272251
4656.250000	-31.939945
4671.875000	-27.686201
4687.500000	-27.011469
4703.125000	-30.653471
4718.750000	-35.114532
4734.375000	-37.315174
4750.000000	-38.096371
4765.625000	-37.789326
4781.250000	-35.800747
4796.875000	-32.527809
4812.500000	-27.888651
4828.125000	-27.072607
4843.750000	-30.841417
4859.375000	-35.165947
4875.000000	-37.336781
4890.625000	-38.057018
4906.250000	-37.928612
4921.875000	-36.128262
4937.500000	-32.085453
4953.125000	-27.590244
4968.750000	-27.220894
4984.375000	-31.537899
5000.000000	-35.718723
5015.625000	-37.658905
5031.250000	-38.424252
5046.875000	-38.050613
5062.500000	-36.013878
5078.125000	-32.170906
5093.750000	-27.882593
5109.375000	-27.578220
5125.000000	-31.527029
5140.625000	-35.435532
5156.250000	-37.412422
5171.875000	-37.888939
5187.500000	-37.082008
5203.125000	-35.127056
5218.750000	-31.218996
5234.375000	-27.259857
5250.000000	-27.398056
5265.625000	-30.975576
5281.250000	-34.495636
5296.875000	-36.557106
5312.500000	-36.984314
5328.125000	-36.012836
5343.750000	-33.933926
5359.375000	-30.345606
5375.000000	-26.441366
5390.625000	-26.601122
5406.250000	-30.326345
5421.875000	-33.569733
5437.500000	-35.251404
5453.125000	-35.245335
5468.750000	-34.606918
5484.375000	-32.321873
5500.000000	-28.468462
5515.625000	-25.391113
5531.250000	-25.947985
5546.875000	-29.392454
5562.500000	-32.167458
5578.125000	-33.205688
5593.750000	-33.020630
5609.375000	-31.748226
5625.000000	-29.249578
5640.625000	-26.334373
5656.250000	-24.829172
5671.875000	-26.261814
5687.500000	-28.661373
5703.125000	-29.939373
5718.750000	-30.166862
5734.375000	-29.672405
5750.000000	-28.552677
5765.625000	-26.994219
5781.250000	-25.842627
5796.875000	-25.888395
5812.500000	-26.857340
5828.125000	-27.802715
5843.750000	-28.118040
5859.375000	-28.056540
5875.000000	-28.449284
5890.625000	-28.828951
5906.250000	-29.060368
5921.875000	-29.505535
5937.500000	-29.682211
5953.125000	-29.074587
5968.750000	-27.886354
5984.375000	-27.548998
6000.000000	-29.185909
6015.625000	-31.212217
6031.250000	-33.000385
6046.875000	-33.995026
6062.500000	-34.000103
6078.125000	-33.206852
6093.750000	-31.103979
6109.375000	-29.010050
6125.000000	-29.699911
6140.625000	-33.009541
6156.250000	-36.046261
6171.875000	-37.596977
6187.500000	-38.078896
6203.125000	-37.707317
6218.750000	-36.486320
6234.375000	-34.188084
6250.000000	-32.744743
6265.625000	-33.226711
6281.250000	-36.016449
6296.875000	-39.199203
6312.500000	-41.248608
6328.125000	-41.811527
6343.750000	-41.207775
6359.375000	-39.625046
6375.000000	-36.985741
6390.625000	-35.529877
6406.250000	-36.476765
6421.875000	-39.354317
6437.500000	-42.408619
6453.125000	-44.559208
6468.750000	-45.078716
6484.375000	-44.532364
6500.000000	-42.697227
6515.625000	-39.718483
6531.250000	-38.111755
6546.875000	-39.802731
6562.500000	-42.828247
6578.125000	-45.604733
6593.750000	-47.349159
6609.375000	-48.322407
6625.000000	-48.285110
6640.625000	-46.671337
6656.250000	-44.237587
6671.875000	-42.102329
6687.500000	-42.399673
6703.125000	-45.856438
6718.750000	-49.898949
6734.375000	-51.979210
6750.000000	-52.444847
6765.625000	-51.911945
6781.250000	-50.465023
6796.875000	-47.619007
6812.500000	-45.305317
6828.125000	-45.958908
6843.750000	-49.310616
6859.375000	-52.679333
6875.000000	-55.055767
6890.625000	-56.345329
6906.250000	-56.028259
6921.875000	-54.620525
6937.500000	-52.206295
6953.125000	-49.366310
6968.750000	-49.672874
6984.375000	-53.892437
7000.000000	-57.805424
7015.625000	-60.152157
7031.250000	-61.118889
7046.875000	-61.046509
7062.500000	-60.241226
7078.125000	-58.003216
7093.750000	-55.551384
7109.375000	-55.596542
7125.000000	-59.157196
7140.625000	-63.092133
7156.250000	-65.627037
7171.875000	-67.475899
7187.500000	-67.752617
7203.125000	-66.873871
7218.750000	-64.875420
7234.375000	-61.947296
7250.000000	-61.539371
7265.625000	-65.404488
7281.250000	-70.074936
7296.875000	-72.866188
7312.500000	-74.716957
7328.125000	-74.997383
7343.750000	-74.644554
7359.375000	-72.479797
7375.000000	-69.852051
7390.625000	-69.656265
7406.250000	-72.641869
7421.875000	-77.292244
7437.500000	-80.110893
7453.125000	-81.662926
7468.750000	-82.520599
7484.375000	-82.318878
7500.000000	-80.980774
7515.625000	-77.707512
7531.250000	-76.548637
7546.875000	-79.476959
7562.500000	-83.242065
7578.125000	-85.908516
7593.750000	-87.075447
7609.375000	-88.463020
7625.000000	-89.627304
7640.625000	-90.056328
7656.250000	-87.464439
7671.875000	-86.477402
7687.500000	-89.662460
7703.125000	-94.179070
7718.750000	-98.370537
7734.375000	-101.733437
7750.000000	-104.799263
7765.625000	-108.274689
7781.250000	-111.702194
7796.875000	-113.426010
7812.500000	-113.774796
7828.125000	-117.685555
7843.750000	-124.907051
7859.375000	-131.964920
7875.000000	-138.668030
7890.625000	-144.150116
7906.250000	-147.814819
7921.875000	-149.422577
7937.500000	-149.640060
7953.125000	-149.759506
7968.750000	-149.783432
7984.375000	-149.844070
